node_id,node_type,title,mode,status,category,scene_role,engine,widgets_values,notes
112,IPAdapter,,0,wired_runtime_node,,,,"[0.45, 0, 0.85, 'standard']",
120,ControlNetLoader,,0,wired_ready_to_verify,,,,['controlnet-canny-sdxl-1.0-small.safetensors'],
124,ControlNetApplyAdvanced,,0,wired_ready_to_verify,,,,"[0.65, 0, 0.75]",
81,LoadImageMask,,0,wired_runtime_node,,,,"['main_flow/wave42_inpaint_mask.png', 'red', 'image']",
80,LoadImage,,0,wired_runtime_node,,,,"['IMG_4059.PNG', 'image']",
111,LoadImage,,0,wired_runtime_node,,,,"['IMG_4053.PNG', 'image']",
121,LoadImage,,0,wired_ready_to_verify_control_image,,,,"['controlnet_canny_corrected_white_edges_black_bg.png', 'image']",
110,IPAdapterUnifiedLoader,,0,wired_runtime_node,,,,['PLUS FACE (portraits)'],
259,LoraLoader,W42-SDXL-0073 | pose_camera | ACTIVE_COPY,2,catalog_pose_camera_lora_active_copy_but_disconnected,pose_camera,pose_camera,sdxl,"['wave42/sdxl/pose_camera/sdxl_adult_male_Double_Kiss_POV.safetensors', 0.45, 0.45]",
70,Note,,0,note_only_boundary,,,,"['Reference / IPAdapter / ControlNet staging\nThe layout source calls for reference identity, pose/depth/edge/mask control, and regional inpaint. The face-reference IPAdapter branch is staged below as ready_to_verify from the prior smoke template. The Canny ControlNet edge-map branch is staged below as ready_to_verify. Additional reference-slot routing and pose/depth/openpose control maps remain notes until direct runtime proof exists.']","Reference / IPAdapter / ControlNet staging
The layout source calls for reference identity, pose/depth/edge/mask control, and regional inpaint. The face-reference IPAdapter branch is staged below as ready_to_verify from the prior smoke template. The Canny ControlNet edge-map branch is staged below as ready_to_verify. Additional reference-slot routing and pose/depth/openpose control maps remain notes until direct runtime proof exists."
