Authority_ID,Requirement,Required_Output,Autonomous_Blocker,QA_Gates
BGA-001,Probe local whole-body geometry dependencies and model files,body_geometry_dependency_probe.json,Blocked_Body_Geometry_Dependency_Missing,body_dependency_probe_pass; exact_blocker_if_missing; no_human_work_dependency
BGA-002,Implement person instance and owner separation authority,person_instance_owner_authority.json,Blocked_Body_Geometry_Low_Confidence,person_instance_pass; owner_assignment_pass; multi_person_overlap_check_pass
BGA-003,Implement pose landmark authority for torso limbs joints and body orientation,pose_landmark_authority.json,Blocked_Body_Geometry_Dependency_Missing,pose_landmark_pass; subject_viewer_side_mapping_pass; skeleton_anchor_pass
BGA-004,Implement hand finger palm knuckle fingertip and fingernail authority,hand_finger_landmark_authority.json,Blocked_Hand_Finger_Geometry_Not_Trusted,hand_landmark_pass; finger_joint_chain_pass; hand_side_mapping_pass
BGA-005,Implement human part parsing for skin hair clothing torso limbs feet and background,human_part_parsing_authority.json,Blocked_Body_Geometry_Dependency_Missing,semantic_human_part_parsing_pass; skin_hair_clothing_boundary_pass; model_confidence_recorded
BGA-006,Implement torso chest abdomen belly button waist hips and back authority,torso_abdomen_umbilicus_authority.json,Blocked_Body_Geometry_Low_Confidence,torso_region_pass; abdomen_region_pass; belly_button_umbilicus_pass; protected_neighbor_pass
BGA-007,Implement limb joint upper arm forearm thigh knee calf ankle authority,limb_joint_region_authority.json,Blocked_Body_Geometry_Low_Confidence,limb_region_pass; joint_anchor_pass; left_right_side_mapping_pass
BGA-008,Implement feet toes toenails shoe sock and floor contact authority,feet_toes_authority.json,Blocked_Body_Part_Not_Visible,foot_region_pass; toe_toenail_region_pass; support_surface_boundary_pass
BGA-009,Implement hair body hair scalp skin marks and body skin authority,hair_body_skin_marks_authority.json,Blocked_Body_Geometry_Low_Confidence,hair_skin_region_pass; body_hair_region_pass; skin_mark_boundary_pass
BGA-010,Implement contact occlusion ownership resolver for hand body object and support interactions,contact_occlusion_ownership_authority.json,Blocked_Contact_Occlusion_Ownership_Unresolved,contact_occlusion_ownership_pass; protected_overlap_threshold_pass; owner_overlap_error_pass
BGA-011,Implement body region geometry resolver with blockers,body_region_geometry_authority.json,Blocked_Body_Geometry_Low_Confidence,body_region_geometry_pass; source_visibility_pass; protected_neighbor_pass
BGA-013,Implement soft-body deformation and protected anchor geometry authority,soft_body_anchor_geometry_authority.json,Blocked_Body_Geometry_Low_Confidence,soft_body_anchor_pass; skeletal_anchor_pass; deformation_region_protected_neighbor_pass
BGA-014,Implement temporal body-part tracking and video mask drift authority,temporal_body_part_tracking_authority.json,Blocked_Reference_Matrix_Not_Run,temporal_tracking_pass; mask_drift_detection_pass; frame_grid_review_pass
BGA-015,Build body reference matrix for poses angles clothing skin hair hands feet contact and occlusion,body_reference_matrix.json,Blocked_Reference_Matrix_Not_Run,body_reference_matrix_pass; cross_subject_generalization_pass; source_visibility_matrix_pass
BGA-016,Redo existing body hand hand-interaction contact support and soft-body masks from canonical body geometry,redo_existing_body_hand_contact_masks.json,Blocked_Wave70_Mask_Geometry_Gate_Not_Passed,existing_body_hand_contact_masks_fail_closed; mask_from_canonical_body_geometry_pass; no_generated_output_promotion
BGA-017,Integrate whole-body authority into Wave70 promotion and scheduled QA gates,whole_body_geometry_promotion_integration.json,Blocked_Body_Geometry_Authority_Not_Integrated,whole_body_geometry_authority_pass; wave70_mask_geometry_gate_pass; wave70_mask_promotion_gate_pass
